pkdex,pkm_name,ele_type_1,ele_type_2,strength_hp,strength_atk,strength_def,strength_spatk,strength_spdef,strength_spd
1,Bulbasaur,Grass,Poison,45,49,49,65,65,45
2,Ivysaur,Grass,Poison,60,62,63,80,80,60
3,Venusaur,Grass,Poison,80,82,83,100,100,80
4,Charmander,Fire,,39,52,43,60,50,65
5,Charmeleon,Fire,,58,64,58,80,65,80
6,Charizard,Fire,Flying,78,84,78,109,85,100
7,Squirtle,Water,,44,48,65,50,64,43
8,Wartortle,Water,,59,63,80,65,80,58
9,Blastoise,Water,,79,83,100,85,105,78
10,Caterpie,Bug,,45,30,35,20,20,45
11,Metapod,Bug,,50,20,55,25,25,30
12,Butterfree,Bug,Flying,60,45,50,90,80,70
13,Weedle,Bug,Poison,40,35,30,20,20,50
14,Kakuna,Bug,Poison,45,25,50,25,25,35
15,Beedrill,Bug,Poison,65,90,40,45,80,75
16,Pidgey,Normal,Flying,40,45,40,35,35,56
17,Pidgeotto,Normal,Flying,63,60,55,50,50,71
18,Pidgeot,Normal,Flying,83,80,75,70,70,101
19,Rattata,Normal,,30,56,35,25,35,72
20,Raticate,Normal,,55,81,60,50,70,97
21,Spearow,Normal,Flying,40,60,30,31,31,70
22,Fearow,Normal,Flying,65,90,65,61,61,100
23,Ekans,Poison,,35,60,44,40,54,55
24,Arbok,Poison,,60,85,69,65,79,80
25,Pikachu,Electric,,35,55,40,50,50,90
26,Raichu,Electric,,60,90,55,90,80,110
27,Sandshrew,Ground,,50,75,85,20,30,40
28,Sandslash,Ground,,75,100,110,45,55,65
29,Nidoran♀,Poison,,55,47,52,40,40,41
30,Nidorina,Poison,,70,62,67,55,55,56
31,Nidoqueen,Poison,Ground,90,92,87,75,85,76
32,Nidoran♂,Poison,,46,57,40,40,40,50
33,Nidorino,Poison,,61,72,57,55,55,65
34,Nidoking,Poison,Ground,81,102,77,85,75,85
35,Clefairy,Fairy,,70,45,48,60,65,35
36,Clefable,Fairy,,95,70,73,95,90,60
37,Vulpix,Fire,,38,41,40,50,65,65
38,Ninetales,Fire,,73,76,75,81,100,100
39,Jigglypuff,Normal,Fairy,115,45,20,45,25,20
40,Wigglytuff,Normal,Fairy,140,70,45,85,50,45
41,Zubat,Poison,Flying,40,45,35,30,40,55
42,Golbat,Poison,Flying,75,80,70,65,75,90
43,Oddish,Grass,Poison,45,50,55,75,65,30
44,Gloom,Grass,Poison,60,65,70,85,75,40
45,Vileplume,Grass,Poison,75,80,85,110,90,50
46,Paras,Bug,Grass,35,70,55,45,55,25
47,Parasect,Bug,Grass,60,95,80,60,80,30
48,Venonat,Bug,Poison,60,55,50,40,55,45
49,Venomoth,Bug,Poison,70,65,60,90,75,90
50,Diglett,Ground,,10,55,25,35,45,95
51,Dugtrio,Ground,,35,80,50,50,70,120
52,Meowth,Normal,,40,45,35,40,40,90
53,Persian,Normal,,65,70,60,65,65,115
54,Psyduck,Water,,50,52,48,65,50,55
55,Golduck,Water,,80,82,78,95,80,85
56,Mankey,Fighting,,40,80,35,35,45,70
57,Primeape,Fighting,,65,105,60,60,70,95
58,Growlithe,Fire,,55,70,45,70,50,60
59,Arcanine,Fire,,90,110,80,100,80,95
60,Poliwag,Water,,40,50,40,40,40,90
61,Poliwhirl,Water,,65,65,65,50,50,90
62,Poliwrath,Water,Fighting,90,95,95,70,90,70
63,Abra,Psychic,,25,20,15,105,55,90
64,Kadabra,Psychic,,40,35,30,120,70,105
65,Alakazam,Psychic,,55,50,45,135,95,120
66,Machop,Fighting,,70,80,50,35,35,35
67,Machoke,Fighting,,80,100,70,50,60,45
68,Machamp,Fighting,,90,130,80,65,85,55
69,Bellsprout,Grass,Poison,50,75,35,70,30,40
70,Weepinbell,Grass,Poison,65,90,50,85,45,55
71,Victreebel,Grass,Poison,80,105,65,100,70,70
72,Tentacool,Water,Poison,40,40,35,50,100,70
73,Tentacruel,Water,Poison,80,70,65,80,120,100
74,Geodude,Rock,Ground,40,80,100,30,30,20
75,Graveler,Rock,Ground,55,95,115,45,45,35
76,Golem,Rock,Ground,80,120,130,55,65,45
77,Ponyta,Fire,,50,85,55,65,65,90
78,Rapidash,Fire,,65,100,70,80,80,105
79,Slowpoke,Water,Psychic,90,65,65,40,40,15
80,Slowbro,Water,Psychic,95,75,110,100,80,30
81,Magnemite,Electric,Steel,25,35,70,95,55,45
82,Magneton,Electric,Steel,50,60,95,120,70,70
83,Farfetch'd,Normal,Flying,52,65,55,58,62,60
84,Doduo,Normal,Flying,35,85,45,35,35,75
85,Dodrio,Normal,Flying,60,110,70,60,60,100
86,Seel,Water,,65,45,55,45,70,45
87,Dewgong,Water,Ice,90,70,80,70,95,70
88,Grimer,Poison,,80,80,50,40,50,25
89,Muk,Poison,,105,105,75,65,100,50
90,Shellder,Water,,30,65,100,45,25,40
91,Cloyster,Water,Ice,50,95,180,85,45,70
92,Gastly,Ghost,Poison,30,35,30,100,35,80
93,Haunter,Ghost,Poison,45,50,45,115,55,95
94,Gengar,Ghost,Poison,60,65,60,130,75,110
95,Onix,Rock,Ground,35,45,160,30,45,70
96,Drowzee,Psychic,,60,48,45,43,90,42
97,Hypno,Psychic,,85,73,70,73,115,67
98,Krabby,Water,,30,105,90,25,25,50
99,Kingler,Water,,55,130,115,50,50,75
100,Voltorb,Electric,,40,30,50,55,55,100
101,Electrode,Electric,,60,50,70,80,80,140
102,Exeggcute,Grass,Psychic,60,40,80,60,45,40
103,Exeggutor,Grass,Psychic,95,95,85,125,65,55
104,Cubone,Ground,,50,50,95,40,50,35
105,Marowak,Ground,,60,80,110,50,80,45
106,Hitmonlee,Fighting,,50,120,53,35,110,87
107,Hitmonchan,Fighting,,50,105,79,35,110,76
108,Lickitung,Normal,,90,55,75,60,75,30
109,Koffing,Poison,,40,65,95,60,45,35
110,Weezing,Poison,,65,90,120,85,70,60
111,Rhyhorn,Ground,Rock,80,85,95,30,30,25
112,Rhydon,Ground,Rock,105,130,120,45,45,40
113,Chansey,Normal,,250,5,5,35,105,50
114,Tangela,Grass,,65,55,115,100,40,60
115,Kangaskhan,Normal,,105,95,80,40,80,90
116,Horsea,Water,,30,40,70,70,25,60
117,Seadra,Water,,55,65,95,95,45,85
118,Goldeen,Water,,45,67,60,35,50,63
119,Seaking,Water,,80,92,65,65,80,68
120,Staryu,Water,,30,45,55,70,55,85
121,Starmie,Water,Psychic,60,75,85,100,85,115
122,Mr. Mime,Psychic,Fairy,40,45,65,100,120,90
123,Scyther,Bug,Flying,70,110,80,55,80,105
124,Jynx,Ice,Psychic,65,50,35,115,95,95
125,Electabuzz,Electric,,65,83,57,95,85,105
126,Magmar,Fire,,65,95,57,100,85,93
127,Pinsir,Bug,,65,125,100,55,70,85
128,Tauros,Normal,,75,100,95,40,70,110
129,Magikarp,Water,,20,10,55,15,20,80
130,Gyarados,Water,Flying,95,125,79,60,100,81
131,Lapras,Water,Ice,130,85,80,85,95,60
132,Ditto,Normal,,48,48,48,48,48,48
133,Eevee,Normal,,55,55,50,45,65,55
134,Vaporeon,Water,,130,65,60,110,95,65
135,Jolteon,Electric,,65,65,60,110,95,130
136,Flareon,Fire,,65,130,60,95,110,65
137,Porygon,Normal,,65,60,70,85,75,40
138,Omanyte,Rock,Water,35,40,100,90,55,35
139,Omastar,Rock,Water,70,60,125,115,70,55
140,Kabuto,Rock,Water,30,80,90,55,45,55
141,Kabutops,Rock,Water,60,115,105,65,70,80
142,Aerodactyl,Rock,Flying,80,105,65,60,75,130
143,Snorlax,Normal,,160,110,65,65,110,30
144,Articuno,Ice,Flying,90,85,100,95,125,85
145,Zapdos,Electric,Flying,90,90,85,125,90,100
146,Moltres,Fire,Flying,90,100,90,125,85,90
147,Dratini,Dragon,,41,64,45,50,50,50
148,Dragonair,Dragon,,61,84,65,70,70,70
149,Dragonite,Dragon,Flying,91,134,95,100,100,80
150,Mewtwo,Psychic,,106,110,90,154,90,130
151,Mew,Psychic,,100,100,100,100,100,100
152,Chikorita,Grass,,45,49,65,49,65,45
153,Bayleef,Grass,,60,62,80,63,80,60
155,Cyndaquil,Fire,,39,52,43,60,50,65
156,Quilava,Fire,,58,64,58,80,65,80
157,Typhlosion,Fire,,78,84,78,109,85,100
158,Totodile,Water,,50,65,64,44,48,43
159,Croconaw,Water,,65,80,80,59,63,58
160,Feraligatr,Water,,85,105,100,79,83,78
161,Sentret,Normal,,35,46,34,35,45,20
162,Furret,Normal,,85,76,64,45,55,90
163,Hoothoot,Normal,Flying,60,30,30,36,56,50
164,Noctowl,Normal,Flying,100,50,50,76,96,70
165,Ledyba,Bug,Flying,40,20,30,40,80,55
166,Ledian,Bug,Flying,55,35,50,55,110,85
167,Spinarak,Bug,Poison,40,60,40,40,40,30
168,Ariados,Bug,Poison,70,90,70,60,60,40
169,Crobat,Poison,Flying,85,90,80,70,80,130
170,Chinchou,Water,Electric,75,38,38,56,56,67
171,Lanturn,Water,Electric,125,58,58,76,76,67
172,Pichu,Electric,,20,40,15,35,35,60
173,Cleffa,Fairy,,50,25,28,45,55,15
174,Igglybuff,Normal,Fairy,90,30,15,40,20,15
175,Togepi,Fairy,,35,20,65,40,65,20
176,Togetic,Fairy,Flying,55,40,85,80,105,40
177,Natu,Psychic,Flying,40,50,45,70,45,70
178,Xatu,Psychic,Flying,65,75,70,95,70,95
179,Mareep,Electric,,55,40,40,65,45,35
180,Flaaffy,Electric,,70,55,55,80,60,45
181,Ampharos,Electric,,90,75,85,115,90,55
182,Bellossom,Grass,,75,80,95,90,100,50
183,Marill,Water,Fairy,70,20,50,20,50,40
184,Azumarill,Water,Fairy,100,50,80,60,80,50
185,Sudowoodo,Rock,,70,100,115,30,65,30
186,Politoed,Water,,90,75,75,90,100,70
187,Hoppip,Grass,Flying,35,35,40,35,55,50
188,Skiploom,Grass,Flying,55,45,50,45,65,80
189,Jumpluff,Grass,Flying,75,55,70,55,95,110
190,Aipom,Normal,,55,70,55,40,55,85
191,Sunkern,Grass,,30,30,30,30,30,30
192,Sunflora,Grass,,75,75,55,105,85,30
193,Yanma,Bug,Flying,65,65,45,75,45,95
194,Wooper,Water,Ground,55,45,45,25,25,15
195,Quagsire,Water,Ground,95,85,85,65,65,35
196,Espeon,Psychic,,65,65,60,130,95,110
197,Umbreon,Dark,,95,65,110,60,130,65
198,Murkrow,Dark,Flying,60,85,42,85,42,91
199,Slowking,Water,Psychic,95,75,80,100,110,30
200,Misdreavus,Ghost,,60,60,60,85,85,85
201,Unown,Psychic,,48,72,48,72,48,48
202,Wobbuffet,Psychic,,190,33,58,33,58,33
203,Girafarig,Normal,Psychic,70,80,65,90,65,85
204,Pineco,Bug,,50,65,90,35,35,15
205,Forretress,Bug,Steel,75,90,140,60,60,40
206,Dunsparce,Normal,,100,70,70,65,65,45
207,Gligar,Ground,Flying,65,75,105,35,65,85
208,Steelix,Steel,Ground,75,85,200,55,65,30
209,Snubbull,Fairy,,60,80,50,40,40,30
210,Granbull,Fairy,,90,120,75,60,60,45
211,Qwilfish,Water,Poison,65,95,75,55,55,85
212,Scizor,Bug,Steel,70,130,100,55,80,65
213,Shuckle,Bug,Rock,20,10,230,10,230,5
214,Heracross,Bug,Fighting,80,125,75,40,95,85
215,Sneasel,Dark,Ice,55,95,55,35,75,115
216,Teddiursa,Normal,,60,80,50,50,50,40
217,Ursaring,Normal,,90,130,75,75,75,55
218,Slugma,Fire,,40,40,40,70,40,20
219,Magcargo,Fire,Rock,50,50,120,80,80,30
220,Swinub,Ice,Ground,50,50,40,30,30,50
221,Piloswine,Ice,Ground,100,100,80,60,60,50
222,Corsola,Water,Rock,55,55,85,65,85,35
223,Remoraid,Water,,35,65,35,65,35,65
224,Octillery,Water,,75,105,75,105,75,45
225,Delibird,Ice,Flying,45,55,45,65,45,75
226,Mantine,Water,Flying,65,40,70,80,140,70
227,Skarmory,Steel,Flying,65,80,140,40,70,70
228,Houndour,Dark,Fire,45,60,30,80,50,65
229,Houndoom,Dark,Fire,75,90,50,110,80,95
230,Kingdra,Water,Dragon,75,95,95,95,95,85
231,Phanpy,Ground,,90,60,60,40,40,40
232,Donphan,Ground,,90,120,120,60,60,50
233,Porygon2,Normal,,85,80,90,105,95,60
234,Stantler,Normal,,73,95,62,85,65,85
235,Smeargle,Normal,,55,20,35,20,45,75
236,Tyrogue,Fighting,,35,35,35,35,35,35
237,Hitmontop,Fighting,,50,95,95,35,110,70
238,Smoochum,Ice,Psychic,45,30,15,85,65,65
239,Elekid,Electric,,45,63,37,65,55,95
240,Magby,Fire,,45,75,37,70,55,83
241,Miltank,Normal,,95,80,105,40,70,100
242,Blissey,Normal,,255,10,10,75,135,55
243,Raikou,Electric,,90,85,75,115,100,115
244,Entei,Fire,,115,115,85,90,75,100
245,Suicune,Water,,100,75,115,90,115,85
246,Larvitar,Rock,Ground,50,64,50,45,50,41
247,Pupitar,Rock,Ground,70,84,70,65,70,51
248,Tyranitar,Rock,Dark,100,134,110,95,100,61
249,Lugia,Psychic,Flying,106,90,130,90,154,110
250,Ho-oh,Fire,Flying,106,130,90,110,154,90
251,Celebi,Psychic,Grass,100,100,100,100,100,100
252,Treecko,Grass,,40,45,35,65,55,70
253,Grovyle,Grass,,50,65,45,85,65,95
254,Sceptile,Grass,,70,85,65,105,85,120
255,Torchic,Fire,,45,60,40,70,50,45
256,Combusken,Fire,Fighting,60,85,60,85,60,55
257,Blaziken,Fire,Fighting,80,120,70,110,70,80
258,Mudkip,Water,,50,70,50,50,50,40
259,Marshtomp,Water,Ground,70,85,70,60,70,50
260,Swampert,Water,Ground,100,110,90,85,90,60
261,Poochyena,Dark,,35,55,35,30,30,35
262,Mightyena,Dark,,70,90,70,60,60,70
263,Zigzagoon,Normal,,38,30,41,30,41,60
264,Linoone,Normal,,78,70,61,50,61,100
265,Wurmple,Bug,,45,45,35,20,30,20
266,Silcoon,Bug,,50,35,55,25,25,15
267,Beautifly,Bug,Flying,60,70,50,100,50,65
268,Cascoon,Bug,,50,35,55,25,25,15
269,Dustox,Bug,Poison,60,50,70,50,90,65
270,Lotad,Water,Grass,40,30,30,40,50,30
271,Lombre,Water,Grass,60,50,50,60,70,50
272,Ludicolo,Water,Grass,80,70,70,90,100,70
273,Seedot,Grass,,40,40,50,30,30,30
274,Nuzleaf,Grass,Dark,70,70,40,60,40,60
275,Shiftry,Grass,Dark,90,100,60,90,60,80
276,Taillow,Normal,Flying,40,55,30,30,30,85
277,Swellow,Normal,Flying,60,85,60,50,50,125
278,Wingull,Water,Flying,40,30,30,55,30,85
279,Pelipper,Water,Flying,60,50,100,85,70,65
280,Ralts,Psychic,Fairy,28,25,25,45,35,40
281,Kirlia,Psychic,Fairy,38,35,35,65,55,50
282,Gardevoir,Psychic,Fairy,68,65,65,125,115,80
283,Surskit,Bug,Water,40,30,32,50,52,65
284,Masquerain,Bug,Flying,70,60,62,80,82,60
285,Shroomish,Grass,,60,40,60,40,60,35
286,Breloom,Grass,Fighting,60,130,80,60,60,70
287,Slakoth,Normal,,60,60,60,35,35,30
288,Vigoroth,Normal,,80,80,80,55,55,90
289,Slaking,Normal,,150,160,100,95,65,100
290,Nincada,Bug,Ground,31,45,90,30,30,40
291,Ninjask,Bug,Flying,61,90,45,50,50,160
292,Shedinja,Bug,Ghost,1,90,45,30,30,40
293,Whismur,Normal,,64,51,23,51,23,28
294,Loudred,Normal,,84,71,43,71,43,48
295,Exploud,Normal,,104,91,63,91,73,68
296,Makuhita,Fighting,,72,60,30,20,30,25
297,Hariyama,Fighting,,144,120,60,40,60,50
298,Azurill,Normal,Fairy,50,20,40,20,40,20
299,Nosepass,Rock,,30,45,135,45,90,30
300,Skitty,Normal,,50,45,45,35,35,50
301,Delcatty,Normal,,70,65,65,55,55,70
302,Sableye,Dark,Ghost,50,75,75,65,65,50
303,Mawile,Steel,Fairy,50,85,85,55,55,50
304,Aron,Steel,Rock,50,70,100,40,40,30
305,Lairon,Steel,Rock,60,90,140,50,50,40
306,Aggron,Steel,Rock,70,110,180,60,60,50
307,Meditite,Fighting,Psychic,30,40,55,40,55,60
308,Medicham,Fighting,Psychic,60,60,75,60,75,80
309,Electrike,Electric,,40,45,40,65,40,65
310,Manectric,Electric,,70,75,60,105,60,105
311,Plusle,Electric,,60,50,40,85,75,95
312,Minun,Electric,,60,40,50,75,85,95
313,Volbeat,Bug,,65,73,55,47,75,85
314,Illumise,Bug,,65,47,55,73,75,85
315,Roselia,Grass,Poison,50,60,45,100,80,65
316,Gulpin,Poison,,70,43,53,43,53,40
317,Swalot,Poison,,100,73,83,73,83,55
318,Carvanha,Water,Dark,45,90,20,65,20,65
319,Sharpedo,Water,Dark,70,120,40,95,40,95
320,Wailmer,Water,,130,70,35,70,35,60
321,Wailord,Water,,170,90,45,90,45,60
322,Numel,Fire,Ground,60,60,40,65,45,35
323,Camerupt,Fire,Ground,70,100,70,105,75,40
324,Torkoal,Fire,,70,85,140,85,70,20
325,Spoink,Psychic,,60,25,35,70,80,60
326,Grumpig,Psychic,,80,45,65,90,110,80
327,Spinda,Normal,,60,60,60,60,60,60
328,Trapinch,Ground,,45,100,45,45,45,10
329,Vibrava,Ground,Dragon,50,70,50,50,50,70
330,Flygon,Ground,Dragon,80,100,80,80,80,100
331,Cacnea,Grass,,50,85,40,85,40,35
332,Cacturne,Grass,Dark,70,115,60,115,60,55
333,Swablu,Normal,Flying,45,40,60,40,75,50
334,Altaria,Dragon,Flying,75,70,90,70,105,80
335,Zangoose,Normal,,73,115,60,60,60,90
336,Seviper,Poison,,73,100,60,100,60,65
337,Lunatone,Rock,Psychic,70,55,65,95,85,70
338,Solrock,Rock,Psychic,70,95,85,55,65,70
339,Barboach,Water,Ground,50,48,43,46,41,60
340,Whiscash,Water,Ground,110,78,73,76,71,60
341,Corphish,Water,,43,80,65,50,35,35
342,Crawdaunt,Water,Dark,63,120,85,90,55,55
343,Baltoy,Ground,Psychic,40,40,55,40,70,55
344,Claydol,Ground,Psychic,60,70,105,70,120,75
345,Lileep,Rock,Grass,66,41,77,61,87,23
346,Cradily,Rock,Grass,86,81,97,81,107,43
347,Anorith,Rock,Bug,45,95,50,40,50,75
348,Armaldo,Rock,Bug,75,125,100,70,80,45
349,Feebas,Water,,20,15,20,10,55,80
350,Milotic,Water,,95,60,79,100,125,81
351,Castform,Normal,,70,70,70,70,70,70
352,Kecleon,Normal,,60,90,70,60,120,40
353,Shuppet,Ghost,,44,75,35,63,33,45
354,Banette,Ghost,,64,115,65,83,63,65
355,Duskull,Ghost,,20,40,90,30,90,25
356,Dusclops,Ghost,,40,70,130,60,130,25
357,Tropius,Grass,Flying,99,68,83,72,87,51
358,Chimecho,Psychic,,65,50,70,95,80,65
359,Absol,Dark,,65,130,60,75,60,75
360,Wynaut,Psychic,,95,23,48,23,48,23
361,Snorunt,Ice,,50,50,50,50,50,50
362,Glalie,Ice,,80,80,80,80,80,80
363,Spheal,Ice,Water,70,40,50,55,50,25
364,Sealeo,Ice,Water,90,60,70,75,70,45
365,Walrein,Ice,Water,110,80,90,95,90,65
366,Clamperl,Water,,35,64,85,74,55,32
367,Huntail,Water,,55,104,105,94,75,52
368,Gorebyss,Water,,55,84,105,114,75,52
369,Relicanth,Water,Rock,100,90,130,45,65,55
370,Luvdisc,Water,,43,30,55,40,65,97
371,Bagon,Dragon,,45,75,60,40,30,50
372,Shelgon,Dragon,,65,95,100,60,50,50
373,Salamence,Dragon,Flying,95,135,80,110,80,100
374,Beldum,Steel,Psychic,40,55,80,35,60,30
375,Metang,Steel,Psychic,60,75,100,55,80,50
376,Metagross,Steel,Psychic,80,135,130,95,90,70
377,Regirock,Rock,,80,100,200,50,100,50
378,Regice,Ice,,80,50,100,100,200,50
379,Registeel,Steel,,80,75,150,75,150,50
380,Latias,Dragon,Psychic,80,80,90,110,130,110
381,Latios,Dragon,Psychic,80,90,80,130,110,110
382,Kyogre,Water,,100,100,90,150,140,90
383,Groudon,Ground,,100,150,140,100,90,90
384,Rayquaza,Dragon,Flying,105,150,90,150,90,95
385,Jirachi,Steel,Psychic,100,100,100,100,100,100
387,Turtwig,Grass,,55,68,64,45,55,31
388,Grotle,Grass,,75,89,85,55,65,36
389,Torterra,Grass,Ground,95,109,105,75,85,56
390,Chimchar,Fire,,44,58,44,58,44,61
391,Monferno,Fire,Fighting,64,78,52,78,52,81
392,Infernape,Fire,Fighting,76,104,71,104,71,108
393,Piplup,Water,,53,51,53,61,56,40
394,Prinplup,Water,,64,66,68,81,76,50
395,Empoleon,Water,Steel,84,86,88,111,101,60
396,Starly,Normal,Flying,40,55,30,30,30,60
397,Staravia,Normal,Flying,55,75,50,40,40,80
398,Staraptor,Normal,Flying,85,120,70,50,60,100
399,Bidoof,Normal,,59,45,40,35,40,31
400,Bibarel,Normal,Water,79,85,60,55,60,71
401,Kricketot,Bug,,37,25,41,25,41,25
402,Kricketune,Bug,,77,85,51,55,51,65
403,Shinx,Electric,,45,65,34,40,34,45
404,Luxio,Electric,,60,85,49,60,49,60
405,Luxray,Electric,,80,120,79,95,79,70
406,Budew,Grass,Poison,40,30,35,50,70,55
407,Roserade,Grass,Poison,60,70,65,125,105,90
408,Cranidos,Rock,,67,125,40,30,30,58
409,Rampardos,Rock,,97,165,60,65,50,58
410,Shieldon,Rock,Steel,30,42,118,42,88,30
411,Bastiodon,Rock,Steel,60,52,168,47,138,30
412,Burmy,Bug,,40,29,45,29,45,36
414,Mothim,Bug,Flying,70,94,50,94,50,66
415,Combee,Bug,Flying,30,30,42,30,42,70
416,Vespiquen,Bug,Flying,70,80,102,80,102,40
417,Pachirisu,Electric,,60,45,70,45,90,95
418,Buizel,Water,,55,65,35,60,30,85
419,Floatzel,Water,,85,105,55,85,50,115
420,Cherubi,Grass,,45,35,45,62,53,35
421,Cherrim,Grass,,70,60,70,87,78,85
422,Shellos,Water,,76,48,48,57,62,34
423,Gastrodon,Water,Ground,111,83,68,92,82,39
424,Ambipom,Normal,,75,100,66,60,66,115
425,Drifloon,Ghost,Flying,90,50,34,60,44,70
426,Drifblim,Ghost,Flying,150,80,44,90,54,80
427,Buneary,Normal,,55,66,44,44,56,85
428,Lopunny,Normal,,65,76,84,54,96,105
429,Mismagius,Ghost,,60,60,60,105,105,105
430,Honchkrow,Dark,Flying,100,125,52,105,52,71
431,Glameow,Normal,,49,55,42,42,37,85
432,Purugly,Normal,,71,82,64,64,59,112
433,Chingling,Psychic,,45,30,50,65,50,45
434,Stunky,Poison,Dark,63,63,47,41,41,74
435,Skuntank,Poison,Dark,103,93,67,71,61,84
436,Bronzor,Steel,Psychic,57,24,86,24,86,23
437,Bronzong,Steel,Psychic,67,89,116,79,116,33
438,Bonsly,Rock,,50,80,95,10,45,10
439,Mime Jr.,Psychic,Fairy,20,25,45,70,90,60
440,Happiny,Normal,,100,5,5,15,65,30
441,Chatot,Normal,Flying,76,65,45,92,42,91
442,Spiritomb,Ghost,Dark,50,92,108,92,108,35
443,Gible,Dragon,Ground,58,70,45,40,45,42
444,Gabite,Dragon,Ground,68,90,65,50,55,82
445,Garchomp,Dragon,Ground,108,130,95,80,85,102
446,Munchlax,Normal,,135,85,40,40,85,5
447,Riolu,Fighting,,40,70,40,35,40,60
448,Lucario,Fighting,Steel,70,110,70,115,70,90
449,Hippopotas,Ground,,68,72,78,38,42,32
450,Hippowdon,Ground,,108,112,118,68,72,47
451,Skorupi,Poison,Bug,40,50,90,30,55,65
452,Drapion,Poison,Dark,70,90,110,60,75,95
453,Croagunk,Poison,Fighting,48,61,40,61,40,50
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85
455,Carnivine,Grass,,74,100,72,90,72,46
456,Finneon,Water,,49,49,56,49,61,66
457,Lumineon,Water,,69,69,76,69,86,91
458,Mantyke,Water,Flying,45,20,50,60,120,50
459,Snover,Grass,Ice,60,62,50,62,60,40
460,Abomasnow,Grass,Ice,90,92,75,92,85,60
461,Weavile,Dark,Ice,70,120,65,45,85,125
462,Magnezone,Electric,Steel,70,70,115,130,90,60
463,Lickilicky,Normal,,110,85,95,80,95,50
464,Rhyperior,Ground,Rock,115,140,130,55,55,40
465,Tangrowth,Grass,,100,100,125,110,50,50
466,Electivire,Electric,,75,123,67,95,85,95
467,Magmortar,Fire,,75,95,67,125,95,83
468,Togekiss,Fairy,Flying,85,50,95,120,115,80
470,Leafeon,Grass,,65,110,130,60,65,95
471,Glaceon,Ice,,65,60,110,130,95,65
472,Gliscor,Ground,Flying,75,95,125,45,75,95
473,Mamoswine,Ice,Ground,110,130,80,70,60,80
474,Porygon-Z,Normal,,85,80,70,135,75,90
475,Gallade,Psychic,Fighting,68,125,65,65,115,80
476,Probopass,Rock,Steel,60,55,145,75,150,40
477,Dusknoir,Ghost,,45,100,135,65,135,45
478,Froslass,Ice,Ghost,70,80,70,80,70,110
480,Uxie,Psychic,,75,75,130,75,130,95
481,Mesprit,Psychic,,80,105,105,105,105,80
482,Azelf,Psychic,,75,125,70,125,70,115
483,Dialga,Steel,Dragon,100,120,120,150,100,90
484,Palkia,Water,Dragon,90,120,100,150,120,100
485,Heatran,Fire,Steel,91,90,106,130,106,77
486,Regigigas,Normal,,110,160,110,80,110,100
488,Cresselia,Psychic,,120,70,120,75,130,85
489,Phione,Water,,80,80,80,80,80,80
490,Manaphy,Water,,100,100,100,100,100,100
491,Darkrai,Dark,,70,90,90,135,90,125
493,Arceus,Normal,,120,120,120,120,120,120